DATE,Industrial Grey WF_Semambu Area
11/2/2016,9265.4925
11/3/2016,5673.4425
11/4/2016,8648.145
11/5/2016,5056.095
11/6/2016,8539.4925
11/7/2016,6194.1825
11/8/2016,4947.4425
11/9/2016,9168.885
11/10/2016,5468.1825
11/11/2016,5673.4425
11/12/2016,4947.4425
11/13/2016,9374.145
11/14/2016,5468.1825
11/15/2016,4947.4425
11/16/2016,5576.835
11/17/2016,5673.4425
11/18/2016,8539.4925
11/19/2016,9060.2325
11/20/2016,8648.145
11/21/2016,5056.095
11/22/2016,5673.4425
11/23/2016,5468.1825
11/24/2016,5468.1825
11/25/2016,6302.835
11/26/2016,9060.2325
11/27/2016,4947.4425
11/28/2016,5782.095
11/29/2016,8539.4925
11/30/2016,5056.095
12/1/2016,9030.3311
12/2/2016,9030.3311
12/3/2016,10272.6434
12/4/2016,10458.5668
12/5/2016,16068.0292
12/6/2016,16419.2347
12/7/2016,9030.3311
12/8/2016,10107.3313
12/9/2016,9030.3311
12/10/2016,15176.9474
12/11/2016,10852.1436
12/12/2016,15176.9524
12/13/2016,9030.3311
12/14/2016,9216.2545
12/15/2016,17310.3415
12/16/2016,9565.9079
12/17/2016,9030.3311
12/18/2016,9216.2545
12/19/2016,17310.5115
12/20/2016,10272.6434
12/21/2016,9030.3311
12/22/2016,10104.7313
12/23/2016,9216.2545
12/24/2016,16419.2647
12/25/2016,9030.3311
12/26/2016,9030.3311
12/27/2016,14851.3415
12/28/2016,10107.3113
12/29/2016,9030.3311
12/30/2016,16419.2647
12/31/2016,16068.0292
1/1/2017,12558.008
1/2/2017,12712.2989
1/3/2017,12712.0989
1/4/2017,8213.5133
1/5/2017,8507.1761
1/6/2017,7629.5139
1/7/2017,8214.0133
1/8/2017,8497.1761
1/9/2017,7475.173
1/10/2017,13451.2532
1/11/2017,8661.267
1/12/2017,7475.223
1/13/2017,7475.223
1/14/2017,12557.998
1/15/2017,8951.1664
1/16/2017,7475.223
1/17/2017,8660.767
1/18/2017,8844.1664
1/19/2017,12557.908
1/20/2017,7475.223
1/21/2017,7629.5139
1/22/2017,14328.9514
1/23/2017,7475.223
1/24/2017,8507.1761
1/25/2017,7475.223
1/26/2017,11357.2892
1/27/2017,8661.467
1/28/2017,8214.2133
1/29/2017,12558.008
1/30/2017,13451.2892
1/31/2017,9246.1664
2/1/2017,5486.0188
2/2/2017,5486.0188
2/3/2017,10077.0651
2/4/2017,7085.6295
2/5/2017,6557.4928
2/6/2017,10077.0651
2/7/2017,7085.6195
2/8/2017,10883.9244
2/9/2017,5625.4126
2/10/2017,11009.1803
