Date,Industrial Blue WF_Semambu Area
6/5/2016,50035.4828
6/6/2016,15972.8329
6/7/2016,32102.0116
6/8/2016,17922.0472
6/9/2016,68830.5238
6/10/2016,8527.0416
6/11/2016,88218.4965
6/12/2016,31251.5943
6/13/2016,95296.3225
6/14/2016,28564.9608
6/15/2016,10145.4968
6/16/2016,31754.5002
6/17/2016,13084.8246
6/18/2016,92087.1041
6/19/2016,87557.4659
6/20/2016,92835.6046
6/21/2016,57629.6598
6/22/2016,20618.0909
6/23/2016,53918.2494
6/24/2016,50420.8983
6/25/2016,91385.5349
6/26/2016,91412.0118
6/27/2016,92953.7090
6/28/2016,52377.5940
6/29/2016,71907.5610
6/30/2016,27842.1285
7/1/2016,17863.1065
7/2/2016,78540.7746
7/3/2016,50873.9755
7/4/2016,48693.6949
7/5/2016,15780.7720
7/6/2016,45828.9141
7/7/2016,108774.8869
7/8/2016,42964.2439
7/9/2016,124507.4519
7/10/2016,25054.9946
7/11/2016,98202.6239
7/12/2016,64570.9422
7/13/2016,108805.6313
7/14/2016,15631.4119
7/15/2016,117388.8045
7/16/2016,60329.0692
7/17/2016,48092.7725
7/18/2016,104802.5444
7/19/2016,48188.1009
7/20/2016,111872.8965
7/21/2016,9813.3885
7/22/2016,96751.2572
7/23/2016,106007.2930
7/24/2016,99571.2602
7/25/2016,72337.0229
7/26/2016,57592.7468
7/27/2016,75950.2548
7/28/2016,101066.3237
7/29/2016,100295.3342
7/30/2016,44198.9303
7/31/2016,107319.5762
8/1/2016,26380.0416
8/2/2016,169616.5755
8/3/2016,110400.3822
8/4/2016,165558.6949
8/5/2016,28959.4605
8/6/2016,162654.8192
8/7/2016,146412.6880
8/8/2016,9067.2474
8/9/2016,222495.3130
8/10/2016,11182.1767
8/11/2016,263750.2555
8/12/2016,187781.0000
8/13/2016,127344.2107
8/14/2016,238042.1278
8/15/2016,15284.8283
8/16/2016,243795.9781
8/17/2016,27019.9631
8/18/2016,246385.1838
8/19/2016,261241.2691
8/20/2016,228818.4688
8/21/2016,170084.2018
8/22/2016,164308.3074
8/23/2016,62330.1856
8/24/2016,132526.0258
8/25/2016,229966.5347
8/26/2016,6797.7133
8/27/2016,218613.7392
8/28/2016,119690.2972
8/29/2016,39608.1377
8/30/2016,32531.9469
8/31/2016,165080.2261
9/1/2016,82406.8811
9/2/2016,112626.1517
9/3/2016,169330.9593
9/4/2016,236646.4744
9/5/2016,240889.5747
9/6/2016,123040.1417
9/7/2016,265362.3836
9/8/2016,140670.0549
9/9/2016,34228.3184
9/10/2016,30000.9975
9/11/2016,201698.9091
9/12/2016,142924.0913
9/13/2016,101038.8789
9/14/2016,132921.5682
9/15/2016,15153.2069
