DATE,Industrial Grey WF_Panching Area
5/14/2017,279.0924
5/15/2017,193.0884
5/16/2017,186.8784
5/17/2017,256.4584
5/18/2017,193.5184
5/19/2017,209.338
5/20/2017,279.8184
5/21/2017,216.0024
5/22/2017,209.7924
5/23/2017,186.8784
5/24/2017,230.0424
5/25/2017,160.7424
5/26/2017,230.0424
5/27/2017,166.9524
5/28/2017,160.7424
5/29/2017,160.7424
5/30/2017,160.7424
5/31/2017,160.7424
6/1/2017,41.3018
6/2/2017,41.3018
6/3/2017,80.9016
6/4/2017,56.4471
6/5/2017,43.0038
6/6/2017,67.4583
6/7/2017,60.2951
6/8/2017,54.7451
6/9/2017,48.465
6/10/2017,61.9971
6/11/2017,54.7451
6/12/2017,61.9971
6/13/2017,69.1603
6/14/2017,60.2951
6/15/2017,54.7451
6/16/2017,61.9083
6/17/2017,41.3018
6/18/2017,43.0038
6/19/2017,50.167
6/20/2017,73.7384
6/21/2017,41.3018
6/22/2017,54.7451
6/23/2017,61.9083
6/24/2017,75.4404
6/25/2017,50.167
6/26/2017,41.3018
6/27/2017,50.167
6/28/2017,41.3018
6/29/2017,67.4583
6/30/2017,41.3018
7/1/2017,27.0694
7/2/2017,38.7397
7/3/2017,44.1869
7/4/2017,27.0694
7/5/2017,27.0694
7/6/2017,49.4876
7/7/2017,29.0694
7/8/2017,28.0694
7/9/2017,32.5166
7/10/2017,42.3295
7/11/2017,43.7411
7/12/2017,35.3295
7/13/2017,36.0026
7/14/2017,38.4397
7/15/2017,40.7767
7/16/2017,38.7397
7/17/2017,31.4683
7/18/2017,28.1152
7/19/2017,47.0032
7/20/2017,31.4708
7/21/2017,27.0694
7/22/2017,38.7397
7/23/2017,40.7767
7/24/2017,43.1411
7/25/2017,36.3753
7/26/2017,27.0694
7/27/2017,27.0694
7/28/2017,36.3753
7/29/2017,27.0694
7/30/2017,35.3295
7/31/2017,27.0694
8/1/2017,95.4408
8/2/2017,114.6463
8/3/2017,155.7932
8/4/2017,124.5642
8/5/2017,95.4408
8/6/2017,140.2749
8/7/2017,140.0825
8/8/2017,136.5877
8/9/2017,93.128
8/10/2017,143.7697
8/11/2017,155.8132
8/12/2017,110.9591
8/13/2017,124.5642
8/14/2017,119.3877
8/15/2017,114.4408
8/16/2017,99.628
8/17/2017,99.1202
8/18/2017,128.4514
8/19/2017,152.106
8/20/2017,110.9591
8/21/2017,165.6767
8/22/2017,95.4408
8/23/2017,95.4408
8/24/2017,181.7934
8/25/2017,110.9591
8/26/2017,124.5642
8/27/2017,95.4408
8/28/2017,136.5817
8/29/2017,136.5717
8/30/2017,124.5642
8/31/2017,95.4408
9/1/2017,129.5532
9/2/2017,158.4382
9/3/2017,158.4382
9/4/2017,117.6282
9/5/2017,104.1344
9/6/2017,88.7432
9/7/2017,117.6282
9/8/2017,129.5532
9/9/2017,148.6014
9/10/2017,148.6014
9/11/2017,88.7432
9/12/2017,129.5532
9/13/2017,121.2852
9/14/2017,117.6282
9/15/2017,136.6764
9/16/2017,133.0194
9/17/2017,92.4002
9/18/2017,88.7432
9/19/2017,117.6282
9/20/2017,136.6764
9/21/2017,144.9444
9/22/2017,129.5532
9/23/2017,129.5532
9/24/2017,92.4002
9/25/2017,88.7432
9/26/2017,107.7914
9/27/2017,107.7914
9/28/2017,88.7432
9/29/2017,104.1344
9/30/2017,88.7432
10/1/2017,80.3712
10/2/2017,115.0212
10/3/2017,128.0892
10/4/2017,139.5462
10/5/2017,104.8962
10/6/2017,91.5442
10/7/2017,83.4762
10/8/2017,80.3712
10/9/2017,93.4392
10/10/2017,139.5462
10/11/2017,83.4762
10/12/2017,93.4392
10/13/2017,97.7592
10/14/2017,117.1262
10/15/2017,93.6292
10/16/2017,80.3712
10/17/2017,104.669
10/18/2017,128.0892
10/19/2017,83.4762
10/20/2017,83.4762
10/21/2017,83.4762
10/22/2017,152.6142
10/23/2017,80.3712
10/24/2017,80.3712
10/25/2017,96.5442
10/26/2017,101.1612
10/27/2017,108.0012
10/28/2017,93.4392
10/29/2017,152.6142
10/30/2017,104.8962
10/31/2017,139.5462
11/1/2017,366.201
11/2/2017,493.251
11/3/2017,414.711
11/4/2017,276.276
11/5/2017,552.552
11/6/2017,276.276
11/7/2017,276.276
11/8/2017,414.711
11/9/2017,451.242
11/10/2017,493.251
11/11/2017,366.201
11/12/2017,377.586
11/13/2017,324.192
11/14/2017,276.276
11/15/2017,324.192
11/16/2017,287.661
11/17/2017,324.192
11/18/2017,366.201
11/19/2017,451.242
11/20/2017,403.326
11/21/2017,414.711
11/22/2017,366.201
11/23/2017,324.192
11/24/2017,287.661
11/25/2017,366.201
11/26/2017,462.627
11/27/2017,366.201
11/28/2017,276.276
11/29/2017,335.577
11/30/2017,335.577
12/1/2017,504.2734
12/2/2017,504.2734
12/3/2017,721.6781
12/4/2017,721.6781
12/5/2017,977.0297
12/6/2017,504.2734
12/7/2017,658.1507
12/8/2017,523.7551
12/9/2017,870.548
12/10/2017,698.8253
12/11/2017,504.2734
12/12/2017,658.2507
12/13/2017,790.1556
12/14/2017,658.1507
12/15/2017,586.266
12/16/2017,815.1524
12/17/2017,657.6013
12/18/2017,721.6781
12/19/2017,523.8931
12/20/2017,586.266
12/21/2017,740.1533
12/22/2017,523.7541
12/23/2017,721.6781
12/24/2017,504.2735
12/25/2017,605.7477
12/26/2017,803.6702
12/27/2017,658.1507
12/28/2017,504.2734
12/29/2017,741.1598
12/30/2017,504.2734
12/31/2017,677.6324
1/1/2018,66.9715
1/2/2018,66.9715
1/3/2018,92.1418
1/4/2018,102.4418
1/5/2018,62.6726
1/6/2018,57.6726
1/7/2018,111.7405
1/8/2018,57.6726
1/9/2018,57.6726
1/10/2018,51.8785
1/11/2018,109.5378
1/12/2018,82.8429
1/13/2018,85.0788
1/14/2018,75.0656
1/15/2018,57.6726
1/16/2018,67.5715
1/17/2018,85.0488
1/18/2018,84.3445
1/19/2018,59.8765
1/20/2018,57.7726
1/21/2018,59.9785
1/22/2018,91.1359
1/23/2018,66.9908
1/24/2018,57.6721
1/25/2018,111.7387
1/26/2018,57.6726
1/27/2018,100.2309
1/28/2018,56.6226
1/29/2018,77.2715
1/30/2018,75.0656
1/31/2018,59.8785
2/1/2018,49.3882
2/2/2018,94.2488
2/3/2018,67.7199
2/4/2018,77.5207
2/5/2018,78.2421
2/6/2018,82.2421
2/7/2018,51.7132
2/8/2018,61.514
2/9/2018,56.7199
2/10/2018,75.9171
2/11/2018,59.091
2/12/2018,70.0049
2/13/2018,75.8371
2/14/2018,59.189
2/15/2018,59.189
2/16/2018,58.2421
2/17/2018,104.1516
2/18/2018,75.9171
2/19/2018,50.6732
2/20/2018,77.5207
2/21/2018,53.3877
2/22/2018,96.5736
2/23/2018,85.8179
2/24/2018,49.3832
2/25/2018,78.2316
2/26/2018,79.5457
2/27/2018,67.6999
2/28/2018,79.8457
3/1/2018,56.9813
3/2/2018,56.9813
3/3/2018,56.9813
3/4/2018,65.7448
3/5/2018,65.7448
3/6/2018,63.8676
3/7/2018,53.9813
3/8/2018,49.0695
3/9/2018,70.4801
3/10/2018,49.0695
3/11/2018,93.1953
3/12/2018,50.1464
3/13/2018,50.7464
3/14/2018,49.1695
3/15/2018,70.5149
3/16/2018,56.9813
